Exp total_cores kernel unit thread result
512_local_spread 10 dgemm gflops 0 11.6424
512_local_spread 10 dgemm gflops 0 15.3018
512_local_spread 10 dgemm gflops 0 15.6868
512_local_spread 10 dgemm gflops 0 15.9082
512_local_spread 10 dgemm gflops 0 15.9296
512_local_spread 10 dgemm gflops 0 15.9066
512_local_spread 10 dgemm gflops 0 16.0016
512_local_spread 10 dgemm gflops 0 15.9763
512_local_spread 10 dgemm gflops 0 15.9621
512_local_spread 10 dgemm gflops 0 16.032
512_local_spread 10 dgemm gflops 0 16.0245
512_local_spread 10 dgemm gflops 0 16.0646
512_local_spread 10 dgemm gflops 0 16.07
512_local_spread 10 dgemm gflops 0 16.0854
512_local_spread 10 dgemm gflops 0 16.0249
512_local_spread 10 dgemm gflops 0 16.103
512_local_spread 10 dgemm gflops 0 16.0919
512_local_spread 10 dgemm gflops 0 16.1191
512_local_spread 10 dgemm gflops 0 16.1125
512_local_spread 10 dgemm gflops 0 16.0973
512_local_spread 10 dgemm gflops 0 16.1289
512_local_spread 10 dgemm gflops 0 16.1314
512_local_spread 10 dgemm gflops 0 16.127
512_local_spread 10 dgemm gflops 0 16.1083
512_local_spread 10 dgemm gflops 0 16.1246
512_local_spread 10 dgemm gflops 0 16.1429
512_local_spread 10 dgemm gflops 0 16.119
512_local_spread 10 dgemm gflops 0 16.1489
512_local_spread 10 dgemm gflops 0 16.1429
512_local_spread 10 dgemm gflops 0 16.1221
512_local_spread 10 dgemm gflops 0 16.1225
512_local_spread 10 dgemm gflops 0 16.0661
512_local_spread 10 dgemm gflops 0 16.0927
512_local_spread 10 dgemm gflops 0 16.1217
512_local_spread 10 dgemm gflops 0 16.1361
512_local_spread 10 dgemm gflops 0 16.1274
512_local_spread 10 dgemm gflops 0 16.1367
512_local_spread 10 dgemm gflops 0 16.1542
512_local_spread 10 dgemm gflops 0 16.0529
512_local_spread 10 dgemm gflops 0 16.1178
512_local_spread 10 dgemm gflops 0 16.135
512_local_spread 10 dgemm gflops 0 16.1474
512_local_spread 10 dgemm gflops 0 16.1392
512_local_spread 10 dgemm gflops 0 16.1692
512_local_spread 10 dgemm gflops 0 16.1571
512_local_spread 10 dgemm gflops 0 16.1037
512_local_spread 10 dgemm gflops 0 16.152
512_local_spread 10 dgemm gflops 0 16.1537
512_local_spread 10 dgemm gflops 0 16.1646
512_local_spread 10 dgemm gflops 0 16.1194
512_local_spread 10 dgemm gflops 1 11.5835
512_local_spread 10 dgemm gflops 1 15.4836
512_local_spread 10 dgemm gflops 1 15.664
512_local_spread 10 dgemm gflops 1 15.8605
512_local_spread 10 dgemm gflops 1 15.9753
512_local_spread 10 dgemm gflops 1 15.9779
512_local_spread 10 dgemm gflops 1 16.0234
512_local_spread 10 dgemm gflops 1 16.0395
512_local_spread 10 dgemm gflops 1 16.0593
512_local_spread 10 dgemm gflops 1 16.0521
512_local_spread 10 dgemm gflops 1 16.0599
512_local_spread 10 dgemm gflops 1 16.0902
512_local_spread 10 dgemm gflops 1 16.1456
512_local_spread 10 dgemm gflops 1 16.1275
512_local_spread 10 dgemm gflops 1 16.1525
512_local_spread 10 dgemm gflops 1 16.121
512_local_spread 10 dgemm gflops 1 16.1165
512_local_spread 10 dgemm gflops 1 16.1348
512_local_spread 10 dgemm gflops 1 16.1251
512_local_spread 10 dgemm gflops 1 16.1308
512_local_spread 10 dgemm gflops 1 16.1387
512_local_spread 10 dgemm gflops 1 16.121
512_local_spread 10 dgemm gflops 1 16.135
512_local_spread 10 dgemm gflops 1 16.1031
512_local_spread 10 dgemm gflops 1 16.1225
512_local_spread 10 dgemm gflops 1 16.1242
512_local_spread 10 dgemm gflops 1 16.1342
512_local_spread 10 dgemm gflops 1 16.121
512_local_spread 10 dgemm gflops 1 16.135
512_local_spread 10 dgemm gflops 1 16.1213
512_local_spread 10 dgemm gflops 1 16.1215
512_local_spread 10 dgemm gflops 1 16.1496
512_local_spread 10 dgemm gflops 1 16.1613
512_local_spread 10 dgemm gflops 1 16.1048
512_local_spread 10 dgemm gflops 1 16.1546
512_local_spread 10 dgemm gflops 1 16.145
