Exp total_cores kernel unit thread result
256_remote_spread 10 dgemm gflops 0 12.4853
256_remote_spread 10 dgemm gflops 0 14.9809
256_remote_spread 10 dgemm gflops 0 15.1862
256_remote_spread 10 dgemm gflops 0 15.2689
256_remote_spread 10 dgemm gflops 0 15.1946
256_remote_spread 10 dgemm gflops 0 15.257
256_remote_spread 10 dgemm gflops 0 15.2124
256_remote_spread 10 dgemm gflops 0 14.9301
256_remote_spread 10 dgemm gflops 0 15.2141
256_remote_spread 10 dgemm gflops 0 15.242
256_remote_spread 10 dgemm gflops 0 15.2256
256_remote_spread 10 dgemm gflops 0 15.2396
256_remote_spread 10 dgemm gflops 0 15.2767
256_remote_spread 10 dgemm gflops 0 15.2597
256_remote_spread 10 dgemm gflops 0 15.2089
256_remote_spread 10 dgemm gflops 0 15.2373
256_remote_spread 10 dgemm gflops 0 15.1686
256_remote_spread 10 dgemm gflops 0 15.2589
256_remote_spread 10 dgemm gflops 0 15.2348
256_remote_spread 10 dgemm gflops 0 15.2725
256_remote_spread 10 dgemm gflops 0 15.2685
256_remote_spread 10 dgemm gflops 0 15.2357
256_remote_spread 10 dgemm gflops 0 15.2323
256_remote_spread 10 dgemm gflops 0 15.2423
256_remote_spread 10 dgemm gflops 0 15.2242
256_remote_spread 10 dgemm gflops 0 15.2351
256_remote_spread 10 dgemm gflops 0 15.2456
256_remote_spread 10 dgemm gflops 0 15.3064
256_remote_spread 10 dgemm gflops 0 15.2469
256_remote_spread 10 dgemm gflops 0 15.2578
256_remote_spread 10 dgemm gflops 0 15.3108
256_remote_spread 10 dgemm gflops 0 15.2775
256_remote_spread 10 dgemm gflops 0 15.2106
256_remote_spread 10 dgemm gflops 0 15.2519
256_remote_spread 10 dgemm gflops 0 15.302
256_remote_spread 10 dgemm gflops 0 15.2895
256_remote_spread 10 dgemm gflops 0 15.2611
256_remote_spread 10 dgemm gflops 0 15.2752
256_remote_spread 10 dgemm gflops 0 15.2955
256_remote_spread 10 dgemm gflops 0 15.2241
256_remote_spread 10 dgemm gflops 0 15.2496
256_remote_spread 10 dgemm gflops 0 15.2427
256_remote_spread 10 dgemm gflops 0 15.2908
256_remote_spread 10 dgemm gflops 0 15.2939
256_remote_spread 10 dgemm gflops 0 15.2966
256_remote_spread 10 dgemm gflops 0 15.2564
256_remote_spread 10 dgemm gflops 0 15.278
256_remote_spread 10 dgemm gflops 0 15.2884
256_remote_spread 10 dgemm gflops 0 15.288
256_remote_spread 10 dgemm gflops 0 15.2717
256_remote_spread 10 dgemm gflops 1 12.0452
256_remote_spread 10 dgemm gflops 1 14.6899
256_remote_spread 10 dgemm gflops 1 15.1113
256_remote_spread 10 dgemm gflops 1 15.1397
256_remote_spread 10 dgemm gflops 1 15.1589
256_remote_spread 10 dgemm gflops 1 15.132
256_remote_spread 10 dgemm gflops 1 15.0712
256_remote_spread 10 dgemm gflops 1 15.129
256_remote_spread 10 dgemm gflops 1 15.1891
256_remote_spread 10 dgemm gflops 1 15.1584
256_remote_spread 10 dgemm gflops 1 15.1746
256_remote_spread 10 dgemm gflops 1 15.1581
256_remote_spread 10 dgemm gflops 1 15.1511
256_remote_spread 10 dgemm gflops 1 15.1715
256_remote_spread 10 dgemm gflops 1 15.2369
256_remote_spread 10 dgemm gflops 1 15.1807
256_remote_spread 10 dgemm gflops 1 15.2311
256_remote_spread 10 dgemm gflops 1 15.1768
256_remote_spread 10 dgemm gflops 1 15.1942
256_remote_spread 10 dgemm gflops 1 15.2144
256_remote_spread 10 dgemm gflops 1 15.2158
256_remote_spread 10 dgemm gflops 1 15.1731
256_remote_spread 10 dgemm gflops 1 15.2115
256_remote_spread 10 dgemm gflops 1 14.9524
256_remote_spread 10 dgemm gflops 1 15.2194
256_remote_spread 10 dgemm gflops 1 15.2348
256_remote_spread 10 dgemm gflops 1 15.232
256_remote_spread 10 dgemm gflops 1 15.219
256_remote_spread 10 dgemm gflops 1 15.2473
256_remote_spread 10 dgemm gflops 1 15.2358
256_remote_spread 10 dgemm gflops 1 15.2655
256_remote_spread 10 dgemm gflops 1 15.2443
256_remote_spread 10 dgemm gflops 1 15.1603
256_remote_spread 10 dgemm gflops 1 15.1961
256_remote_spread 10 dgemm gflops 1 15.2535
256_remote_spread 10 dgemm gflops 1 15.2362
256_remote_spread 10 dgemm gflops 1 15.2709
256_remote_spread 10 dgemm gflops 1 15.2577
256_remote_spread 10 dgemm gflops 1 15.2526
256_remote_spread 10 dgemm gflops 1 15.2107
256_remote_spread 10 dgemm gflops 1 15.2442
256_remote_spread 10 dgemm gflops 1 15.2368
256_remote_spread 10 dgemm gflops 1 15.2581
256_remote_spread 10 dgemm gflops 1 15.2585
256_remote_spread 10 dgemm gflops 1 15.224
256_remote_spread 10 dgemm gflops 1 15.2738
256_remote_spread 10 dgemm gflops 1 15.2807
256_remote_spread 10 dgemm gflops 1 15.2545
