Exp total_cores kernel unit thread result
256_local_spread 1 dgemm gflops 16 16.7314
256_local_spread 1 dgemm gflops 16 16.7583
256_local_spread 1 dgemm gflops 16 16.7081
256_local_spread 1 dgemm gflops 16 16.7559
256_local_spread 1 dgemm gflops 16 16.7304
256_local_spread 1 dgemm gflops 16 16.7572
256_local_spread 1 dgemm gflops 16 16.7302
256_local_spread 1 dgemm gflops 16 16.7472
256_local_spread 1 dgemm gflops 16 16.7382
256_local_spread 1 dgemm gflops 16 16.7546
256_local_spread 1 dgemm gflops 16 16.7281
256_local_spread 1 dgemm gflops 16 16.7594
256_local_spread 1 dgemm gflops 16 16.7432
256_local_spread 1 dgemm gflops 16 16.7653
256_local_spread 1 dgemm gflops 16 16.7372
256_local_spread 1 dgemm gflops 16 16.7587
256_local_spread 1 dgemm gflops 16 16.7388
256_local_spread 1 dgemm gflops 24 3.17665
256_local_spread 1 dgemm gflops 24 16.6985
256_local_spread 1 dgemm gflops 24 16.7515
256_local_spread 1 dgemm gflops 24 16.7312
256_local_spread 1 dgemm gflops 24 16.7659
256_local_spread 1 dgemm gflops 24 16.7177
256_local_spread 1 dgemm gflops 24 16.7719
256_local_spread 1 dgemm gflops 24 10.9069
256_local_spread 1 dgemm gflops 24 16.7145
256_local_spread 1 dgemm gflops 24 16.7468
256_local_spread 1 dgemm gflops 24 16.7155
256_local_spread 1 dgemm gflops 24 16.7464
256_local_spread 1 dgemm gflops 24 16.7347
256_local_spread 1 dgemm gflops 24 16.7564
256_local_spread 1 dgemm gflops 24 16.7228
256_local_spread 1 dgemm gflops 24 16.7594
256_local_spread 1 dgemm gflops 24 16.7376
256_local_spread 1 dgemm gflops 24 16.7481
256_local_spread 1 dgemm gflops 24 16.7075
256_local_spread 1 dgemm gflops 24 16.7558
256_local_spread 1 dgemm gflops 24 16.7186
256_local_spread 1 dgemm gflops 24 16.75
256_local_spread 1 dgemm gflops 24 16.6995
256_local_spread 1 dgemm gflops 24 16.7579
256_local_spread 1 dgemm gflops 24 16.7181
256_local_spread 1 dgemm gflops 24 16.7579
256_local_spread 1 dgemm gflops 24 16.7264
256_local_spread 1 dgemm gflops 24 16.7552
256_local_spread 1 dgemm gflops 24 16.718
256_local_spread 1 dgemm gflops 24 12.1312
256_local_spread 1 dgemm gflops 24 16.7301
256_local_spread 1 dgemm gflops 24 16.7467
256_local_spread 1 dgemm gflops 24 16.7241
256_local_spread 1 dgemm gflops 24 16.7438
256_local_spread 1 dgemm gflops 24 16.716
256_local_spread 1 dgemm gflops 24 16.736
256_local_spread 1 dgemm gflops 24 16.7169
256_local_spread 1 dgemm gflops 24 16.757
256_local_spread 1 dgemm gflops 24 16.7145
256_local_spread 1 dgemm gflops 24 16.7382
256_local_spread 1 dgemm gflops 24 16.7116
256_local_spread 1 dgemm gflops 24 16.7437
256_local_spread 1 dgemm gflops 24 16.7029
256_local_spread 1 dgemm gflops 24 16.7287
256_local_spread 1 dgemm gflops 24 10.7831
256_local_spread 1 dgemm gflops 24 16.7062
256_local_spread 1 dgemm gflops 24 16.7359
256_local_spread 1 dgemm gflops 24 16.718
256_local_spread 1 dgemm gflops 24 16.7372
256_local_spread 1 dgemm gflops 24 16.6876
256_local_spread 1 dgemm gflops 32 4.7492
256_local_spread 1 dgemm gflops 32 16.6724
256_local_spread 1 dgemm gflops 32 16.7409
256_local_spread 1 dgemm gflops 32 11.4916
256_local_spread 1 dgemm gflops 32 16.7154
256_local_spread 1 dgemm gflops 32 16.767
256_local_spread 1 dgemm gflops 32 16.7264
256_local_spread 1 dgemm gflops 32 16.7663
256_local_spread 1 dgemm gflops 32 11.3889
256_local_spread 1 dgemm gflops 32 16.7283
256_local_spread 1 dgemm gflops 32 16.7079
256_local_spread 1 dgemm gflops 32 16.735
256_local_spread 1 dgemm gflops 32 16.7207
256_local_spread 1 dgemm gflops 32 16.7289
256_local_spread 1 dgemm gflops 32 16.7107
256_local_spread 1 dgemm gflops 32 11.5136
256_local_spread 1 dgemm gflops 32 16.7178
256_local_spread 1 dgemm gflops 32 16.708
256_local_spread 1 dgemm gflops 32 16.7382
256_local_spread 1 dgemm gflops 32 16.6956
256_local_spread 1 dgemm gflops 32 16.726
256_local_spread 1 dgemm gflops 32 16.6907
256_local_spread 1 dgemm gflops 32 16.7321
256_local_spread 1 dgemm gflops 32 16.7014
256_local_spread 1 dgemm gflops 32 16.7403
256_local_spread 1 dgemm gflops 32 16.7036
256_local_spread 1 dgemm gflops 32 16.7269
256_local_spread 1 dgemm gflops 32 16.6983
256_local_spread 1 dgemm gflops 32 16.7329
256_local_spread 1 dgemm gflops 32 16.6904
256_local_spread 1 dgemm gflops 32 16.7384
256_local_spread 1 dgemm gflops 32 16.7002
256_local_spread 1 dgemm gflops 32 16.7328
256_local_spread 1 dgemm gflops 32 16.6836
256_local_spread 1 dgemm gflops 32 11.2857
256_local_spread 1 dgemm gflops 32 16.7099
256_local_spread 1 dgemm gflops 32 16.7446
256_local_spread 1 dgemm gflops 32 16.7027
256_local_spread 1 dgemm gflops 32 16.7541
256_local_spread 1 dgemm gflops 32 16.7014
256_local_spread 1 dgemm gflops 32 16.7549
256_local_spread 1 dgemm gflops 32 16.6978
256_local_spread 1 dgemm gflops 32 16.7514
256_local_spread 1 dgemm gflops 32 16.6989
256_local_spread 1 dgemm gflops 32 16.746
256_local_spread 1 dgemm gflops 32 16.7188
256_local_spread 1 dgemm gflops 32 16.748
256_local_spread 1 dgemm gflops 32 16.7375
256_local_spread 1 dgemm gflops 32 16.7286
256_local_spread 1 dgemm gflops 32 16.7436
256_local_spread 1 dgemm gflops 40 4.07149
256_local_spread 1 dgemm gflops 40 16.7625
256_local_spread 1 dgemm gflops 40 16.7323
256_local_spread 1 dgemm gflops 40 16.7823
256_local_spread 1 dgemm gflops 40 16.7255
256_local_spread 1 dgemm gflops 40 16.762
256_local_spread 1 dgemm gflops 40 16.7214
256_local_spread 1 dgemm gflops 40 16.7646
256_local_spread 1 dgemm gflops 40 16.7192
256_local_spread 1 dgemm gflops 40 16.7525
256_local_spread 1 dgemm gflops 40 16.7398
256_local_spread 1 dgemm gflops 40 16.7665
256_local_spread 1 dgemm gflops 40 16.7434
256_local_spread 1 dgemm gflops 40 16.7701
256_local_spread 1 dgemm gflops 40 16.7603
256_local_spread 1 dgemm gflops 40 16.7709
256_local_spread 1 dgemm gflops 40 16.753
256_local_spread 1 dgemm gflops 40 16.7714
256_local_spread 1 dgemm gflops 40 16.7415
256_local_spread 1 dgemm gflops 40 16.7663
256_local_spread 1 dgemm gflops 40 16.7401
256_local_spread 1 dgemm gflops 40 16.7683
256_local_spread 1 dgemm gflops 40 16.7323
256_local_spread 1 dgemm gflops 40 16.771
256_local_spread 1 dgemm gflops 40 16.7429
256_local_spread 1 dgemm gflops 40 16.7738
256_local_spread 1 dgemm gflops 40 16.7574
256_local_spread 1 dgemm gflops 40 16.7672
256_local_spread 1 dgemm gflops 40 16.7452
256_local_spread 1 dgemm gflops 40 16.7782
256_local_spread 1 dgemm gflops 40 16.7447
256_local_spread 1 dgemm gflops 40 16.764
256_local_spread 1 dgemm gflops 40 16.7559
256_local_spread 1 dgemm gflops 40 16.7715
256_local_spread 1 dgemm gflops 40 16.7498
256_local_spread 1 dgemm gflops 40 16.7657
256_local_spread 1 dgemm gflops 40 16.7343
256_local_spread 1 dgemm gflops 40 16.7709
256_local_spread 1 dgemm gflops 40 16.739
256_local_spread 1 dgemm gflops 40 16.7675
256_local_spread 1 dgemm gflops 40 16.7526
256_local_spread 1 dgemm gflops 40 16.7815
256_local_spread 1 dgemm gflops 40 16.746
256_local_spread 1 dgemm gflops 40 16.7759
256_local_spread 1 dgemm gflops 40 10.7374
256_local_spread 1 dgemm gflops 40 16.7151
256_local_spread 1 dgemm gflops 40 16.7351
256_local_spread 1 dgemm gflops 40 16.7242
256_local_spread 1 dgemm gflops 40 16.7579
256_local_spread 1 dgemm gflops 40 16.7213
256_local_spread 1 dgemm gflops 48 3.11507
256_local_spread 1 dgemm gflops 48 16.6995
256_local_spread 1 dgemm gflops 48 16.7607
256_local_spread 1 dgemm gflops 48 16.732
256_local_spread 1 dgemm gflops 48 16.7604
256_local_spread 1 dgemm gflops 48 16.6983
256_local_spread 1 dgemm gflops 48 16.7729
256_local_spread 1 dgemm gflops 48 16.7146
256_local_spread 1 dgemm gflops 48 16.7646
256_local_spread 1 dgemm gflops 48 16.7226
256_local_spread 1 dgemm gflops 48 16.7659
256_local_spread 1 dgemm gflops 48 16.7411
256_local_spread 1 dgemm gflops 48 16.7743
256_local_spread 1 dgemm gflops 48 16.7421
256_local_spread 1 dgemm gflops 48 16.7599
256_local_spread 1 dgemm gflops 48 16.7371
256_local_spread 1 dgemm gflops 48 16.7697
256_local_spread 1 dgemm gflops 48 16.7309
256_local_spread 1 dgemm gflops 48 16.7678
256_local_spread 1 dgemm gflops 48 16.7495
256_local_spread 1 dgemm gflops 48 16.7653
256_local_spread 1 dgemm gflops 48 16.7208
256_local_spread 1 dgemm gflops 48 16.7727
256_local_spread 1 dgemm gflops 48 16.7323
256_local_spread 1 dgemm gflops 48 16.7652
256_local_spread 1 dgemm gflops 48 16.7291
256_local_spread 1 dgemm gflops 48 16.7634
256_local_spread 1 dgemm gflops 48 16.7421
256_local_spread 1 dgemm gflops 48 16.7682
256_local_spread 1 dgemm gflops 48 16.7313
256_local_spread 1 dgemm gflops 48 16.7647
256_local_spread 1 dgemm gflops 48 16.5498
256_local_spread 1 dgemm gflops 48 16.7449
256_local_spread 1 dgemm gflops 48 10.9496
256_local_spread 1 dgemm gflops 48 16.5097
256_local_spread 1 dgemm gflops 48 16.7491
256_local_spread 1 dgemm gflops 48 16.7017
256_local_spread 1 dgemm gflops 48 16.7561
256_local_spread 1 dgemm gflops 48 16.7043
256_local_spread 1 dgemm gflops 48 16.7503
256_local_spread 1 dgemm gflops 48 16.7108
256_local_spread 1 dgemm gflops 48 16.7547
256_local_spread 1 dgemm gflops 48 16.7241
256_local_spread 1 dgemm gflops 48 16.7525
256_local_spread 1 dgemm gflops 48 16.7159
256_local_spread 1 dgemm gflops 48 16.7564
256_local_spread 1 dgemm gflops 48 16.736
256_local_spread 1 dgemm gflops 48 16.744
256_local_spread 1 dgemm gflops 48 16.7194
256_local_spread 1 dgemm gflops 48 10.5242
256_local_spread 1 dgemm gflops 56 3.24931
256_local_spread 1 dgemm gflops 56 16.7054
256_local_spread 1 dgemm gflops 56 16.727
256_local_spread 1 dgemm gflops 56 16.7428
256_local_spread 1 dgemm gflops 56 16.7663
256_local_spread 1 dgemm gflops 56 16.728
256_local_spread 1 dgemm gflops 56 16.7636
256_local_spread 1 dgemm gflops 56 16.7379
256_local_spread 1 dgemm gflops 56 16.7688
256_local_spread 1 dgemm gflops 56 16.7403
256_local_spread 1 dgemm gflops 56 16.7689
256_local_spread 1 dgemm gflops 56 16.7512
256_local_spread 1 dgemm gflops 56 16.7764
256_local_spread 1 dgemm gflops 56 16.7447
256_local_spread 1 dgemm gflops 56 16.7638
256_local_spread 1 dgemm gflops 56 16.7458
256_local_spread 1 dgemm gflops 56 16.7749
256_local_spread 1 dgemm gflops 56 16.7427
256_local_spread 1 dgemm gflops 56 16.7626
256_local_spread 1 dgemm gflops 56 16.7432
256_local_spread 1 dgemm gflops 56 16.768
256_local_spread 1 dgemm gflops 56 16.7377
256_local_spread 1 dgemm gflops 56 16.7647
256_local_spread 1 dgemm gflops 56 16.747
256_local_spread 1 dgemm gflops 56 16.7608
256_local_spread 1 dgemm gflops 56 16.7447
256_local_spread 1 dgemm gflops 56 16.7738
256_local_spread 1 dgemm gflops 56 16.7453
256_local_spread 1 dgemm gflops 56 16.7668
256_local_spread 1 dgemm gflops 56 11.1641
256_local_spread 1 dgemm gflops 56 16.7372
256_local_spread 1 dgemm gflops 56 16.7722
256_local_spread 1 dgemm gflops 56 16.7397
256_local_spread 1 dgemm gflops 56 16.7635
256_local_spread 1 dgemm gflops 56 16.7292
256_local_spread 1 dgemm gflops 56 16.7762
256_local_spread 1 dgemm gflops 56 16.7382
256_local_spread 1 dgemm gflops 56 16.784
256_local_spread 1 dgemm gflops 56 16.743
256_local_spread 1 dgemm gflops 56 16.7708
256_local_spread 1 dgemm gflops 56 10.5661
256_local_spread 1 dgemm gflops 56 16.7448
256_local_spread 1 dgemm gflops 56 16.7024
256_local_spread 1 dgemm gflops 56 16.7399
256_local_spread 1 dgemm gflops 56 11.3222
256_local_spread 1 dgemm gflops 56 16.7095
256_local_spread 1 dgemm gflops 56 16.7468
256_local_spread 1 dgemm gflops 56 16.7305
256_local_spread 1 dgemm gflops 56 16.7465
256_local_spread 1 dgemm gflops 56 16.7131
256_local_spread 1 dgemm gflops 64 3.0105
256_local_spread 1 dgemm gflops 64 11.8502
256_local_spread 1 dgemm gflops 64 16.6787
256_local_spread 1 dgemm gflops 64 16.722
256_local_spread 1 dgemm gflops 64 16.673
256_local_spread 1 dgemm gflops 64 16.708
256_local_spread 1 dgemm gflops 64 16.6525
256_local_spread 1 dgemm gflops 64 16.7321
256_local_spread 1 dgemm gflops 64 16.6869
256_local_spread 1 dgemm gflops 64 16.7254
256_local_spread 1 dgemm gflops 64 16.7005
256_local_spread 1 dgemm gflops 64 16.7345
256_local_spread 1 dgemm gflops 64 16.6927
256_local_spread 1 dgemm gflops 64 16.7224
256_local_spread 1 dgemm gflops 64 16.7034
256_local_spread 1 dgemm gflops 64 16.7266
256_local_spread 1 dgemm gflops 64 16.6939
256_local_spread 1 dgemm gflops 64 16.7203
256_local_spread 1 dgemm gflops 64 16.6857
256_local_spread 1 dgemm gflops 64 16.7294
256_local_spread 1 dgemm gflops 64 16.6963
256_local_spread 1 dgemm gflops 64 16.7265
256_local_spread 1 dgemm gflops 64 16.6819
256_local_spread 1 dgemm gflops 64 16.7283
256_local_spread 1 dgemm gflops 64 16.687
256_local_spread 1 dgemm gflops 64 16.731
256_local_spread 1 dgemm gflops 64 16.704
256_local_spread 1 dgemm gflops 64 16.7246
256_local_spread 1 dgemm gflops 64 16.6789
256_local_spread 1 dgemm gflops 64 16.7291
256_local_spread 1 dgemm gflops 64 16.6972
256_local_spread 1 dgemm gflops 64 16.7039
256_local_spread 1 dgemm gflops 64 10.3887
256_local_spread 1 dgemm gflops 64 16.7305
256_local_spread 1 dgemm gflops 64 16.7663
256_local_spread 1 dgemm gflops 64 16.7203
256_local_spread 1 dgemm gflops 64 16.7754
256_local_spread 1 dgemm gflops 64 16.7304
256_local_spread 1 dgemm gflops 64 16.758
256_local_spread 1 dgemm gflops 64 16.7209
256_local_spread 1 dgemm gflops 64 16.7799
256_local_spread 1 dgemm gflops 64 16.7389
256_local_spread 1 dgemm gflops 64 16.764
256_local_spread 1 dgemm gflops 64 16.7165
256_local_spread 1 dgemm gflops 64 16.763
256_local_spread 1 dgemm gflops 64 16.7517
256_local_spread 1 dgemm gflops 64 16.7736
256_local_spread 1 dgemm gflops 64 16.7448
256_local_spread 1 dgemm gflops 64 16.761
256_local_spread 1 dgemm gflops 64 11.4405
256_local_spread 1 dgemm gflops 72 3.03262
256_local_spread 1 dgemm gflops 72 16.6596
256_local_spread 1 dgemm gflops 72 16.7332
256_local_spread 1 dgemm gflops 72 16.7058
256_local_spread 1 dgemm gflops 72 16.7338
256_local_spread 1 dgemm gflops 72 16.6936
256_local_spread 1 dgemm gflops 72 16.7395
256_local_spread 1 dgemm gflops 72 16.704
256_local_spread 1 dgemm gflops 72 16.7512
256_local_spread 1 dgemm gflops 72 16.7078
256_local_spread 1 dgemm gflops 72 16.7365
256_local_spread 1 dgemm gflops 72 16.7181
256_local_spread 1 dgemm gflops 72 16.7465
256_local_spread 1 dgemm gflops 72 16.7264
256_local_spread 1 dgemm gflops 72 16.7417
256_local_spread 1 dgemm gflops 72 16.7098
256_local_spread 1 dgemm gflops 72 16.7428
256_local_spread 1 dgemm gflops 72 16.7136
256_local_spread 1 dgemm gflops 72 16.7368
256_local_spread 1 dgemm gflops 72 16.7173
256_local_spread 1 dgemm gflops 72 16.7356
256_local_spread 1 dgemm gflops 72 16.6843
256_local_spread 1 dgemm gflops 72 16.7355
256_local_spread 1 dgemm gflops 72 16.7016
256_local_spread 1 dgemm gflops 72 16.7417
256_local_spread 1 dgemm gflops 72 16.7059
256_local_spread 1 dgemm gflops 72 16.7278
256_local_spread 1 dgemm gflops 72 16.7356
256_local_spread 1 dgemm gflops 72 16.7028
256_local_spread 1 dgemm gflops 72 16.75
256_local_spread 1 dgemm gflops 72 16.7207
256_local_spread 1 dgemm gflops 72 16.7377
256_local_spread 1 dgemm gflops 72 16.7167
256_local_spread 1 dgemm gflops 72 16.7334
256_local_spread 1 dgemm gflops 72 16.722
256_local_spread 1 dgemm gflops 72 16.7405
256_local_spread 1 dgemm gflops 72 16.7113
256_local_spread 1 dgemm gflops 72 16.7323
256_local_spread 1 dgemm gflops 72 16.703
256_local_spread 1 dgemm gflops 72 16.7458
256_local_spread 1 dgemm gflops 72 12.0346
256_local_spread 1 dgemm gflops 72 16.7377
256_local_spread 1 dgemm gflops 72 16.7136
256_local_spread 1 dgemm gflops 72 16.7345
256_local_spread 1 dgemm gflops 72 16.7275
256_local_spread 1 dgemm gflops 72 16.7304
256_local_spread 1 dgemm gflops 72 16.7105
256_local_spread 1 dgemm gflops 72 16.7344
256_local_spread 1 dgemm gflops 72 16.7159
256_local_spread 1 dgemm gflops 72 16.7311
256_local_spread 1 dgemm gflops 80 2.87887
256_local_spread 1 dgemm gflops 80 16.7107
256_local_spread 1 dgemm gflops 80 16.7081
