dgeqrf, 48,  14.273458, 410.874433, 1489089819939958895, 1489089834213410536, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,   8,  63.611919, 92.193398, 1489089835624524365, 1489089899236380340, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,   8,  63.277323, 92.680896, 1489089899750254031, 1489089963027571804, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,   8,  63.501308, 92.353987, 1489089963561789214, 1489090027063092286, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,   8,  63.661988, 92.120889, 1489090027589840637, 1489090091251822968, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,   8,  63.621029, 92.180196, 1489090091785741863, 1489090155406765999, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,   8,  63.342797, 92.585096, 1489090155937953608, 1489090219280745331, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 48,  95.936865, 489.015810, 1489090221586971854, 1489090317523813828, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48,  95.923487, 489.084011, 1489090320099960752, 1489090416023440389, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48,  95.967904, 488.857647, 1489090418678153194, 1489090514646050276, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48,  95.956060, 488.917987, 1489090517283411521, 1489090613239465476, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48,  95.909234, 489.156693, 1489090615912783740, 1489090711822011506, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48,  96.036300, 488.509488, 1489090714486021232, 1489090810522314588, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,   8, 489.332349, 95.874805, 1489090814500612220, 1489091303832937618, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,   8, 489.002563, 95.939464, 1489091305891920544, 1489091794894478675, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,   8, 488.973469, 95.945172, 1489091796932200918, 1489092285905665453, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,   8, 489.260926, 95.888801, 1489092287984341232, 1489092777245262126, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,   8, 489.110053, 95.918380, 1489092779343543680, 1489093268453592130, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,   8, 488.770335, 95.985047, 1489093270551556698, 1489093759321875303, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 16, 254.650870, 184.231233, 1489093761845141661, 1489094016495988500, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 16, 254.341170, 184.455563, 1489094018697261246, 1489094273038425598, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 16, 253.949893, 184.739766, 1489094275279556215, 1489094529229443923, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 16, 254.003906, 184.700482, 1489094531495951551, 1489094785499850742, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
