dpotrf, 32, 26.179372, 448.01154, 1489107476863594188, 1489107503042958650, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 32, 26.436500, 443.65407, 1489107507498049203, 1489107533934540446, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 32, 26.147202, 448.56275, 1489107538406147892, 1489107564553342337, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 32, 26.213682, 447.42516, 1489107569036390470, 1489107595250028225, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 9.231602, 1270.49028, 1489107600058954659, 1489107609290437905, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 9.236153, 1269.86430, 1489107614245251320, 1489107623481395125, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 9.222497, 1271.74461, 1489107628487820759, 1489107637710307456, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 9.181467, 1277.42776, 1489107642711137554, 1489107651892586357, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 9.245714, 1268.55113, 1489107657128936866, 1489107666374644180, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 9.167193, 1279.41682, 1489107671566374465, 1489107680733559927, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 52.063332, 225.27680, 1489107686362383696, 1489107738425687545, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 52.157780, 224.86886, 1489107742882630918, 1489107795040402935, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 52.142004, 224.93690, 1489107799450199485, 1489107851592194909, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 52.184967, 224.75171, 1489107856080197449, 1489107908265155801, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 52.103346, 225.10379, 1489107912690911388, 1489107964794248867, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 52.135351, 224.96560, 1489107969179115827, 1489108021314457845, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 1.203062, 1218.6819, 1489108024573391439, 1489108025776422485, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
