dpotrf,  8, 87.751986, 133.656928, 1489097449757209887, 1489097537509170818, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf,  8, 87.936709, 133.376164, 1489097539381100140, 1489097627317800366, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf,  8, 87.948731, 133.357932, 1489097629181624959, 1489097717130346944, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf,  8, 87.950347, 133.355482, 1489097719032730818, 1489097806983070053, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf,  8, 87.958441, 133.343210, 1489097808884526643, 1489097896842960046, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf,  8, 87.882116, 133.459018, 1489097898708659198, 1489097986590768049, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 32,  3.474677, 421.952829, 1489097987692428217, 1489097991167076731, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 32,  3.491187, 419.957362, 1489097991772053582, 1489097995263231435, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 32,  3.482117, 421.051231, 1489097995893014668, 1489097999375124213, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 32,  3.500113, 418.886396, 1489097999998155917, 1489098003498261331, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 32,  3.495922, 419.388558, 1489098004119936462, 1489098007615850704, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 32,  3.498565, 419.071746, 1489098008235662481, 1489098011734176723, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 15.909050, 737.23201, 1489098014097320935, 1489098030006345502, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 10.853775, 1080.6065, 1489098034996177715, 1489098045849945115, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 12.634624, 928.29520, 1489098050402870409, 1489098063037487821, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 12.653190, 926.93312, 1489098067604982358, 1489098080258165952, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 12.863911, 911.74923, 1489098084837016322, 1489098097700920725, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 11.418880, 1027.1288, 1489098102211836518, 1489098113630710249, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 2.037090, 719.727577, 1489098116108381417, 1489098118145441704, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 144, 1.713762, 855.515462, 1489098119266860840, 1489098120980617776, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 144, 1.652379, 887.296251, 1489098122063260058, 1489098123715634061, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 144, 1.925334, 761.504104, 1489098124782354200, 1489098126707682630, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 144, 1.808325, 810.777754, 1489098127820275561, 1489098129628595997, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 144, 1.895398, 773.531364, 1489098130747527239, 1489098132642919858, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf,  96, 2.013433, 728.183935, 1489098133966407357, 1489098135979809998, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf,  96, 1.572811, 932.184227, 1489098137039937152, 1489098138612684228, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf,  96, 1.698744, 863.078647, 1489098139636848301, 1489098141335584745, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf,  96, 1.561958, 938.661382, 1489098142373523484, 1489098143935474357, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf,  96, 1.798868, 815.040221, 1489098144921369779, 1489098146720228143, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf,  96, 1.645910, 890.783641, 1489098147750629370, 1489098149396491279, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 2.159903, 678.803563, 1489098150644450350, 1489098152804326522, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
