dpotrf, 48, 2.279056, 643.314459, 1489088052895776237, 1489088055174825762, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 5.193471, 2258.3472, 1489088056955719042, 1489088062149161484, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 4.827176, 2429.7147, 1489088065285393227, 1489088070112564595, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 4.832856, 2426.8592, 1489088073201932428, 1489088078034783000, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 4.924274, 2381.8051, 1489088081163713475, 1489088086087984596, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 4.942439, 2373.0511, 1489088089203612579, 1489088094146046153, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 4.786783, 2450.2178, 1489088097286603283, 1489088102073381529, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.250576, 1876.4128, 1489088105533489476, 1489088111784038173, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.015089, 1949.8732, 1489088114890168386, 1489088120905251999, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.132218, 1912.6294, 1489088123988121240, 1489088130120334358, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.076533, 1930.1566, 1489088133219004292, 1489088139295533866, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.005237, 1953.0720, 1489088142384612076, 1489088148389844400, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 144, 6.017720, 1949.0207, 1489088151473665994, 1489088157491381344, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 6.078726, 241.193584, 1489088160241588866, 1489088166320290706, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 16, 6.088034, 240.824819, 1489088166841033930, 1489088172929062226, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 16, 6.087087, 240.862295, 1489088173444469158, 1489088179531549500, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 16, 6.051025, 242.297741, 1489088180032537650, 1489088186083556850, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 16, 6.067151, 241.653746, 1489088186606285003, 1489088192673429438, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 16, 6.048594, 242.395129, 1489088193175750027, 1489088199224279783, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 1.006957, 1456.0201, 1489088199974248823, 1489088200981177345, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 0.893313, 1641.2498, 1489088201851622253, 1489088202744929772, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 0.908541, 1613.7409, 1489088203617746845, 1489088204526282169, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 0.873526, 1678.4273, 1489088205402056321, 1489088206275578086, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 0.857591, 1709.6143, 1489088207154416394, 1489088208012001331, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 0.843881, 1737.3889, 1489088208902991279, 1489088209746868302, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 1.165137, 1258.3495, 1489088210910536696, 1489088212075629670, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 1.062396, 1380.0406, 1489088212819235129, 1489088213881626561, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 1.063663, 1378.3968, 1489088214628422585, 1489088215692079977, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 1.095166, 1338.7466, 1489088216435983189, 1489088217531143953, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 1.062671, 1379.6836, 1489088218277811919, 1489088219340476604, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 1.026215, 1428.6966, 1489088220110405188, 1489088221136615713, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 144, 1.148094, 1277.0291, 1489088222231864253, 1489088223379931690, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 144, 0.986829, 1485.7180, 1489088224284655462, 1489088225271479524, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 144, 1.012080, 1448.6500, 1489088226166556512, 1489088227178631214, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 144, 0.996295, 1471.6016, 1489088228074537628, 1489088229070828175, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 144, 1.045088, 1402.8958, 1489088229967462409, 1489088231012545866, off, gcc, libkomp-affinity, default, idchire, userspace, cores(N), 16384, 256
