dgeqrf, 144, 47.08899, 996.297370, 1489124572382997043, 1489124619471986565, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 144, 46.89648, 1000.38731, 1489124625589636323, 1489124672486109362, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 144, 46.79501, 1002.55644, 1489124678527711697, 1489124725322718586, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 144, 46.79209, 1002.61894, 1489124731392251295, 1489124778184343382, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  8, 633.715528, 74.031078, 1489124786340321364, 1489125420055826764, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  8, 631.883306, 74.245740, 1489125425639491213, 1489126057522762910, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  8, 631.784124, 74.257396, 1489126062956762374, 1489126694740821663, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  8, 632.572541, 74.164844, 1489126700154168206, 1489127332726700612, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  8, 632.537717, 74.168927, 1489127338171275327, 1489127970708984537, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  8, 631.961331, 74.236573, 1489127976248289856, 1489128608209613169, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 21.465564, 273.209641, 1489128611742172336, 1489128633207711735, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 32, 21.417496, 273.822812, 1489128634609432049, 1489128656026919609, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 32, 21.466011, 273.203948, 1489128657405004114, 1489128678871007270, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 32, 21.412385, 273.888171, 1489128680249391950, 1489128701661732725, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 32, 21.412695, 273.884207, 1489128703019520827, 1489128724432208251, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 32, 21.461575, 273.260418, 1489128725866147055, 1489128747327714720, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  96, 8.814131, 665.363261, 1489128749021582278, 1489128757835690158, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  96, 8.732720, 671.566136, 1489128759376763773, 1489128768109478279, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  96, 8.655448, 677.561576, 1489128769702764690, 1489128778358205806, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  96, 8.717330, 672.751746, 1489128779950041460, 1489128788667363520, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  96, 8.657878, 677.371408, 1489128790240499495, 1489128798898371496, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  96, 8.716549, 672.812029, 1489128800525862951, 1489128809242405168, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 48, 117.611066, 398.89651, 1489128811652874775, 1489128929263919048, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48, 117.200115, 400.29520, 1489128934484403148, 1489129051684510367, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48, 117.360383, 399.74855, 1489129056839087439, 1489129174199461853, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48, 117.096103, 400.65077, 1489129179442338133, 1489129296538433867, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48, 117.156907, 400.44283, 1489129301793445265, 1489129418950344131, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
