dgeqrf, 144, 48.009430, 977.19643, 1489114317638606884, 1489114365647986452, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 144, 48.249877, 972.32670, 1489114371501779148, 1489114419751651198, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 144, 48.199402, 973.34493, 1489114425649177182, 1489114473848573769, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 144, 48.091224, 975.53440, 1489114479700810018, 1489114527792028658, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  8, 641.433200, 73.140342, 1489114536093328125, 1489115177526446563, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  8, 639.858960, 73.320289, 1489115183211218390, 1489115823070170133, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  8, 640.205198, 73.280636, 1489115828866177373, 1489116469071316287, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  8, 640.369986, 73.261778, 1489116474780720706, 1489117115150697778, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  8, 639.978438, 73.306601, 1489117120979714768, 1489117760958144119, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  8, 639.971779, 73.307363, 1489117766861407829, 1489118406833129663, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 23.245107, 252.293912, 1489118410827450994, 1489118434072531137, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 32, 23.239359, 252.356312, 1489118435502079820, 1489118458741432919, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 32, 23.199633, 252.788438, 1489118460177726321, 1489118483377352480, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 32, 23.223809, 252.525284, 1489118484785241253, 1489118508009042721, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 32, 23.288694, 251.821718, 1489118509497721725, 1489118532786407866, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 32, 23.294823, 251.755464, 1489118534243933161, 1489118557538747977, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  96, 9.198033, 637.592739, 1489118559226695176, 1489118568424606635, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  96, 9.117355, 643.234693, 1489118570095453723, 1489118579212799838, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  96, 9.119430, 643.088320, 1489118580862670096, 1489118589982092028, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  96, 9.111437, 643.652485, 1489118591596945615, 1489118600708374534, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  96, 9.147875, 641.088659, 1489118602297313324, 1489118611445180256, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  96, 9.109473, 643.791246, 1489118613099947444, 1489118622209362307, all, gcc, iomp, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 48, 119.07772, 393.983380, 1489118624748325923, 1489118743826022512, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48, 119.02971, 394.142281, 1489118749399808357, 1489118868429515929, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48, 119.14716, 393.753756, 1489118873859876656, 1489118993007033656, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48, 119.12094, 393.840422, 1489118998694610296, 1489119117815547635, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48, 119.19116, 393.608390, 1489119123239692323, 1489119242430801870, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48, 119.14950, 393.746016, 1489119248014561534, 1489119367164060101, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 128, 51.11358, 917.850761, 1489119373660411454, 1489119424773971574, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 128, 50.92654, 921.221898, 1489119430915815159, 1489119481842292805, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 128, 50.75383, 924.356572, 1489119487970008711, 1489119538723838478, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 128, 50.82448, 923.071629, 1489119544879827343, 1489119595704307286, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 128, 50.89690, 921.758375, 1489119602008126529, 1489119652905019952, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 128, 50.97143, 920.410477, 1489119659084664330, 1489119710056082046, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 174.47662, 268.887844, 1489119716230163259, 1489119890706762142, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 174.45011, 268.928708, 1489119896238403998, 1489120070688509968, all, gcc, iomp, default, idchire, userspace, cores(N), 32768, 512
