dpotrf, 32, 25.340772, 462.83755, 1489109344105659303, 1489109369446424089, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 32, 25.334583, 462.95061, 1489109373441248962, 1489109398775824873, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 32, 25.339451, 462.86168, 1489109402755424784, 1489109428094868824, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 32, 25.294909, 463.67673, 1489109432066058314, 1489109457360959025, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 9.096556, 1289.35181, 1489109462244316360, 1489109471340848104, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 9.069578, 1293.18703, 1489109476053320132, 1489109485122891936, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 9.031100, 1298.69682, 1489109489815871082, 1489109498846963785, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 9.040401, 1297.36069, 1489109503591006055, 1489109512631402256, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 9.034189, 1298.25277, 1489109517359259770, 1489109526393442695, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 96, 9.007915, 1302.03947, 1489109531114630371, 1489109540122538608, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 50.472199, 232.37863, 1489109545368589063, 1489109595840759895, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 50.226971, 233.51320, 1489109600123140640, 1489109650350104912, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 50.323942, 233.06323, 1489109654606198322, 1489109704930133481, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 50.414088, 232.64649, 1489109709175571981, 1489109759589651852, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 50.434143, 232.55398, 1489109763839414706, 1489109814273549804, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 16, 50.480705, 232.33948, 1489109818493899165, 1489109868974598788, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 128, 1.530795, 957.77006, 1489109872113219347, 1489109873643899893, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 1.412552, 1037.9439, 1489109874938759587, 1489109876351304766, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 1.447561, 1012.8413, 1489109877557823066, 1489109879005378438, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 1.427045, 1027.4025, 1489109880219314489, 1489109881646315384, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 1.434131, 1022.3262, 1489109882847742755, 1489109884281867298, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 128, 1.403384, 1044.7245, 1489109885485007946, 1489109886888385591, all, gcc, gomp, default, idchire, userspace, cores(N), 16384, 256
dpotrf, 192, 5.515099, 2126.6456, 1489109889955057774, 1489109895470129714, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 5.303398, 2211.5369, 1489109900725504893, 1489109906028896068, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 5.294587, 2215.2172, 1489109911382219230, 1489109916676757666, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 5.273931, 2223.8934, 1489109921978669444, 1489109927252594778, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 5.288851, 2217.6198, 1489109932635843757, 1489109937924688695, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 192, 5.325306, 2202.4388, 1489109943282619215, 1489109948607920104, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 17.121980, 685.00611, 1489109953421795100, 1489109970543751999, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 17.055350, 687.68221, 1489109974725875609, 1489109991781217728, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 17.045660, 688.07314, 1489109995999142754, 1489110013044794343, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 17.064403, 687.31738, 1489110017196200557, 1489110034260596200, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 17.077848, 686.77628, 1489110038391613246, 1489110055469453071, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
dpotrf, 48, 17.075709, 686.86230, 1489110059666018369, 1489110076741707099, all, gcc, gomp, default, idchire, userspace, cores(N), 32768, 512
