dgeqrf, 32, 146.733595, 319.72667, 1489101051223365975, 1489101197956953123, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 16, 263.505042, 178.04078, 1489101200928058478, 1489101464433073173, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 16, 263.350395, 178.14533, 1489101466416832190, 1489101729767219639, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 16, 263.195306, 178.25030, 1489101731685210369, 1489101994880509344, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 16, 263.389404, 178.11894, 1489101996823076842, 1489102260212419933, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 16, 263.509416, 178.03782, 1489102262145173047, 1489102525654581399, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 16, 263.315590, 178.16888, 1489102527596306544, 1489102790911889224, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 32, 21.958248, 267.079550, 1489102792334231560, 1489102814292405457, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 32, 22.078884, 265.620264, 1489102814969533877, 1489102837048412729, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 32, 21.972963, 266.900688, 1489102837747925244, 1489102859720835602, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 32, 22.007921, 266.476737, 1489102860423634988, 1489102882431548660, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 32, 22.010496, 266.445563, 1489102883111622730, 1489102905122113361, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 32, 21.987929, 266.719026, 1489102905809045624, 1489102927796966867, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 144, 85.722337, 547.28610, 1489102930022693195, 1489103015745004015, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 144, 61.463455, 763.29330, 1489103020077892873, 1489103081541341083, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 144, 58.070011, 807.89796, 1489103085912666377, 1489103143982670428, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 144, 57.780466, 811.94644, 1489103148412311526, 1489103206192771337, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 144, 57.826629, 811.29826, 1489103210620611341, 1489103268447235199, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 144, 58.214887, 805.88739, 1489103272903459660, 1489103331118341908, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 48, 16.015843, 366.174855, 1489103333916030369, 1489103349931848677, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 48, 16.030476, 365.840598, 1489103350773969264, 1489103366804436396, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 48, 16.109435, 364.047462, 1489103367650434580, 1489103383759861503, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 48, 16.099420, 364.273926, 1489103384618582451, 1489103400717994863, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 48, 16.145721, 363.229302, 1489103401573655489, 1489103417719368018, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 48, 16.095356, 364.365906, 1489103418622874630, 1489103434718222576, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf,  8, 486.967186, 96.340462, 1489103438021383961, 1489103924988547301, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  8, 487.135637, 96.307148, 1489103927063349734, 1489104414198981195, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  8, 487.398344, 96.255238, 1489104416319046449, 1489104903717384004, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  8, 487.806944, 96.174612, 1489104905794187592, 1489105393601124533, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  8, 487.492270, 96.236693, 1489105395673289119, 1489105883165551133, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf,  8, 487.629674, 96.209575, 1489105885223226223, 1489106372852894969, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 96, 58.992050, 795.270614, 1489106376170428295, 1489106435162451192, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 96, 59.178945, 792.759041, 1489106438660572098, 1489106497839509796, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 96, 60.037469, 781.422742, 1489106501396482550, 1489106561433944141, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 96, 60.143533, 780.044693, 1489106564964390391, 1489106625107916611, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 96, 60.477993, 775.730834, 1489106628643097818, 1489106689121083266, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 96, 60.918341, 770.123461, 1489106692649855636, 1489106753568188088, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 32768, 512
dgeqrf, 16, 36.844156, 159.173112, 1489106756263960665, 1489106793107998330, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 16, 36.826758, 159.248309, 1489106793668177707, 1489106830494928003, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 16, 36.843511, 159.175898, 1489106831052222795, 1489106867895726905, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 16, 36.838348, 159.198207, 1489106868445883245, 1489106905284174853, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 16, 36.806021, 159.338032, 1489106905839724468, 1489106942645738350, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 16, 36.743705, 159.608264, 1489106943204661859, 1489106979948359049, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 192, 8.512359, 688.951092, 1489106980956142252, 1489106989468476665, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 192, 8.427515, 695.887096, 1489106990774887241, 1489106999202395438, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 192, 8.648910, 678.073761, 1489107000509646911, 1489107009158552242, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 192, 8.765159, 669.080718, 1489107010485956316, 1489107019251109133, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 192, 8.847792, 662.831927, 1489107020562222572, 1489107029409996206, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 192, 8.807627, 665.854604, 1489107030711624212, 1489107039519245186, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 96, 13.631308, 430.230102, 1489107041040664788, 1489107054671947016, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 96, 11.300428, 518.971395, 1489107055664702641, 1489107066965123900, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 96, 10.998602, 533.213131, 1489107068057577917, 1489107079056173729, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 96, 11.154014, 525.783714, 1489107080104066636, 1489107091258073285, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 96, 11.463970, 511.567894, 1489107092268057750, 1489107103732020178, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
dgeqrf, 96, 11.422480, 513.426061, 1489107104812748445, 1489107116235221114, off, gcc, libkomp-noaff, default, idchire, userspace, cores(N), 16384, 256
